objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
Page-1,Page 1.png,Lobelia & The Ghost Crew,Fazrian Prawiranata,,,,,,,Fazrian's Blue Flowery Notebook,0000-0001,Image,image/png,,,
Page-2,Page 2.png,Little Introduction,Fazrian Prawiranata,,,,,,,Fazrian's Blue Flowery Notebook,0000-0002,Image,image/png,,,
Page-3,Page 3.png,Just a Little Self-Love,Fazrian Prawiranata,,,,,,,Fazrian's Blue Flowery Notebook,0000-0003,Image,image/png,,,
Page-4,Page 4.pdf,Blue Prince Notes,Fazrian Prawiranata,,,,,,,Fazrian's Blue Flowery Notebook,0000-0004,Image,application/pdf,en,,
